Time,*gc_ldsq_t0/SQ_CAC_sig0_active,*gc_ldsq_t0/SQ_CAC_sig1_active,*gc_ldsq_t0/SQ_CAC_sig2_active,*gc_ldsq_t0/SQ_CAC_sig3_active,*gc_ldsq_t0/SQ_CAC_sig4_active,*gc_ldsq_t0/SQ_CAC_sig5_active,*gc_ldsq_t0/SQ_CAC_sig6_active,*gc_ldsq_t0/SQ_CAC_sig7_active,*gc_ldsq_t0/SQ_CAC_sig8_active,gc_sp_t
25300003,0,0,0,0,0,0,0,0,0,0.05991
25300072,0,0,0,0,0,0,0,0,0,0.06028
25300141,0,0,0,0,0,0,0,0,0,0.05961
25300210,0,0,0,0,0,0,0,0,0,0.05963
25300279,0,0,0,0,0,0,0,0,0,0.05988
25300348,0,0,0,0,0,0,0,0,0,0.06028
25300417,0,0,0,0,0,0,0,0,0,0.0596
25300486,0,0,0,0,0,0,0,0,0,0.05964
25300555,0,0,0,0,0,0,0,0,0,0.05989
25300624,0,0,0,0,0,0,0,0,0,0.06028
25300693,0,0,0,0,0,0,0,0,0,0.05961
25300762,0,0,0,0,0,0,0,0,0,0.05962
25300831,0,0,0,0,0,0,0,0,0,0.05989
25300900,0,0,0,0,0,0,0,0,0,0.06028
25300969,0,0,0,0,0,0,0,0,0,0.05961
25301038,0,0,0,0,0,0,0,0,0,0.05963
25301107,0,0,0,0,0,0,0,0,0,0.05988
25301176,0,0,0,0,0,0,0,0,0,0.06027
25301245,0,0,0,0,0,0,0,0,0,0.05962
25301314,0,0,0,0,0,0,0,0,0,0.05964
25301383,0,0,0,0,0,0,0,0,0,0.05989
25301452,0,0,0,0,0,0,0,0,0,0.06027
25301521,0,0,0,0,0,0,0,0,0,0.05962
25301590,0,0,0,0,0,0,0,0,0,0.05963
25301659,0,0,0,0,0,0,0,0,0,0.05988
25301728,0,0,0,0,0,0,0,0,0,0.06026
25301797,0,0,0,0,0,0,0,0,0,0.05962
25301866,0,0,0,0,0,0,0,0,0,0.05963
25301935,0,0,0,0,0,0,0,0,0,0.05988
25302004,0,0,0,0,0,0,0,0,0,0.06025
25302073,0,0,0,0,0,0,0,0,0,0.05962
25302142,0,0,0,0,0,0,0,0,0,0.05962
25302211,0,0,0,0,0,0,0,0,0,0.05988
25302280,0,0,0,0,0,0,0,0,0,0.06026
25302349,0,0,0,0,0,0,0,0,0,0.05963
25302418,0,0,0,0,0,0,0,0,0,0.05962
25302487,0,0,0,0,0,0,0,0,0,0.05987
25302556,0,0,0,0,0,0,0,0,0,0.020809
25302625,0,0,0,0,0,0,0,0,0,0.06017
25302694,0,0,0,0,0,0,0,0,0,0.05971
25302763,0,0,0,0,0,0,0,0,0,0.05948
